Status_Conta_Corrente;Duracao_Mes;Proposito;Valor_Credito;Conta_Poupanca;Tempo_Emprego_Atual;Taxa_Parcelamento;Residencia_Atual_Desde;Idade;Moradia;N_Creditos_Existentes;Trabalho;N_Pessoas_Sustento;Telefone;Trabalhador_Estrangeiro;Risco;Faixa_Etaria
Sem conta;36;Negócios;9572;< 100 DM;< 1 ano;1;1;28;Própria;2;Qualificado;1;Sim;Sim;Ruim;18-30 anos
0 a 200 DM;36;Negócios;4455;< 100 DM;1  a 4 anos;2;2;30;Própria;2;Autônomo/Gerência/Oficial;1;Não;Sim;Ruim;18-30 anos
< 0 DM;21;Carro Novo;1647;Sem conta;1  a 4 anos;4;2;40;Própria;2;Informal;2;Sim;Sim;Ruim;31-40 anos
Sem conta;24;Móveis/Equipamento;3777;>= 1000 DM;1  a 4 anos;4;4;50;Própria;1;Qualificado;1;Não;Sim;Bom;41-50 anos
0 a 200 DM;18;Carro Novo;884;< 100 DM;>= 7 anos;4;4;36;Própria;1;Qualificado;2;Não;Sim;Ruim;31-40 anos
Sem conta;15;Rádio/TV;1360;< 100 DM;1  a 4 anos;4;2;31;Própria;2;Qualificado;1;Sim;Sim;Bom;31-40 anos
0 a 200 DM;9;Carro Usado;5129;< 100 DM;>= 7 anos;2;4;74;Favor;1;Autônomo/Gerência/Oficial;2;Não;Sim;Ruim;60+ anos
0 a 200 DM;16;Carro Novo;1175;< 100 DM;Desempregado;2;3;68;Favor;3;Desempregado;1;Não;Sim;Bom;60+ anos
< 0 DM;12;Rádio/TV;674;100 a 500 DM;4 a 7 anos;4;1;20;Própria;1;Qualificado;1;Sim;Sim;Ruim;18-30 anos
0 a 200 DM;18;Móveis/Equipamento;3244;< 100 DM;1  a 4 anos;1;4;33;Própria;2;Qualificado;1;Não;Sim;Bom;31-40 anos
Sem conta;24;Negócios;4591;>= 1000 DM;1  a 4 anos;2;3;54;Própria;3;Autônomo/Gerência/Oficial;1;Não;Sim;Ruim;51-60 anos
0 a 200 DM;48;Negócios;3844;100 a 500 DM;4 a 7 anos;4;4;34;Favor;1;Informal;2;Sim;Sim;Ruim;31-40 anos
0 a 200 DM;27;Negócios;3915;< 100 DM;1  a 4 anos;4;2;36;Própria;1;Qualificado;2;Não;Sim;Ruim;31-40 anos
Sem conta;6;Rádio/TV;2108;< 100 DM;4 a 7 anos;2;2;29;Aluguel;1;Qualificado;1;Sim;Sim;Bom;18-30 anos
0 a 200 DM;45;Rádio/TV;3031;100 a 500 DM;1  a 4 anos;4;4;21;Aluguel;1;Qualificado;1;Sim;Sim;Ruim;18-30 anos
0 a 200 DM;9;Educação;1501;< 100 DM;>= 7 anos;2;3;34;Própria;2;Autônomo/Gerência/Oficial;1;Não;Sim;Ruim;31-40 anos
Sem conta;6;Rádio/TV;1382;< 100 DM;1  a 4 anos;1;1;28;Própria;2;Qualificado;1;Não;Sim;Bom;18-30 anos
0 a 200 DM;12;Móveis/Equipamento;951;100 a 500 DM;< 1 ano;4;4;27;Aluguel;4;Qualificado;1;Sim;Sim;Ruim;18-30 anos
0 a 200 DM;24;Carro Usado;2760;Sem conta;>= 7 anos;4;4;36;Favor;1;Qualificado;1;Não;Sim;Bom;31-40 anos
0 a 200 DM;18;Móveis/Equipamento;4297;< 100 DM;>= 7 anos;4;3;40;Própria;1;Autônomo/Gerência/Oficial;1;Não;Sim;Ruim;31-40 anos
Sem conta;9;Educação;936;500 a 1000 DM;>= 7 anos;4;2;52;Própria;2;Qualificado;1;Não;Sim;Bom;51-60 anos
< 0 DM;12;Carro Novo;1168;< 100 DM;1  a 4 anos;4;3;27;Própria;1;Informal;1;Sim;Sim;Bom;18-30 anos
Sem conta;27;Negócios;5117;< 100 DM;4 a 7 anos;3;4;26;Própria;2;Qualificado;1;Sim;Sim;Bom;18-30 anos
< 0 DM;12;Retreinamento;902;< 100 DM;4 a 7 anos;4;4;21;Aluguel;1;Qualificado;1;Sim;Sim;Ruim;18-30 anos
Sem conta;12;Carro Novo;1495;< 100 DM;>= 7 anos;4;1;38;Própria;2;Informal;2;Sim;Sim;Bom;31-40 anos
< 0 DM;30;Carro Usado;10623;< 100 DM;>= 7 anos;3;4;38;Favor;3;Autônomo/Gerência/Oficial;2;Não;Sim;Bom;31-40 anos
Sem conta;12;Móveis/Equipamento;1935;< 100 DM;>= 7 anos;4;4;43;Própria;3;Qualificado;1;Não;Sim;Bom;41-50 anos
0 a 200 DM;12;Eletrodomésticos;1424;< 100 DM;4 a 7 anos;4;3;26;Própria;1;Qualificado;1;Sim;Sim;Bom;18-30 anos
< 0 DM;24;Negócios;6568;< 100 DM;1  a 4 anos;2;2;21;Própria;1;Informal;1;Sim;Sim;Bom;18-30 anos
Sem conta;12;Carro Usado;1413;>= 1000 DM;4 a 7 anos;3;2;55;Própria;1;Qualificado;1;Sim;Não;Bom;51-60 anos
Sem conta;9;Rádio/TV;3074;Sem conta;1  a 4 anos;1;2;33;Própria;2;Qualificado;2;Sim;Sim;Bom;31-40 anos
Sem conta;36;Rádio/TV;3835;Sem conta;>= 7 anos;2;4;45;Própria;1;Informal;1;Não;Sim;Bom;41-50 anos
< 0 DM;27;Negócios;5293;< 100 DM;Desempregado;2;4;50;Própria;2;Qualificado;1;Não;Sim;Ruim;41-50 anos
>= 200 DM;30;Negócios;1908;< 100 DM;>= 7 anos;4;4;66;Própria;1;Autônomo/Gerência/Oficial;1;Não;Sim;Ruim;60+ anos
Sem conta;36;Rádio/TV;3342;Sem conta;>= 7 anos;4;2;51;Própria;1;Qualificado;1;Não;Sim;Bom;51-60 anos
0 a 200 DM;6;Retreinamento;932;Sem conta;4 a 7 anos;1;3;39;Própria;2;Informal;1;Sim;Sim;Bom;31-40 anos
< 0 DM;18;Negócios;3104;< 100 DM;4 a 7 anos;3;1;31;Própria;1;Qualificado;1;Não;Sim;Bom;31-40 anos
>= 200 DM;36;Rádio/TV;3913;< 100 DM;1  a 4 anos;2;2;23;Própria;1;Qualificado;1;Não;Sim;Bom;18-30 anos
< 0 DM;24;Móveis/Equipamento;3021;< 100 DM;1  a 4 anos;2;2;24;Aluguel;1;Informal;1;Sim;Sim;Bom;18-30 anos
Sem conta;10;Carro Novo;1364;< 100 DM;1  a 4 anos;2;4;64;Própria;1;Qualificado;1;Não;Sim;Bom;60+ anos
0 a 200 DM;12;Rádio/TV;625;< 100 DM;< 1 ano;4;1;26;Própria;1;Informal;1;Sim;Sim;Bom;18-30 anos
< 0 DM;12;Educação;1200;Sem conta;1  a 4 anos;4;4;23;Aluguel;1;Qualificado;1;Não;Sim;Bom;18-30 anos
Sem conta;12;Rádio/TV;707;< 100 DM;1  a 4 anos;4;2;30;Própria;2;Qualificado;1;Sim;Sim;Bom;18-30 anos
Sem conta;24;Negócios;2978;Sem conta;1  a 4 anos;4;4;32;Própria;2;Qualificado;2;Não;Sim;Bom;31-40 anos
Sem conta;15;Carro Usado;4657;< 100 DM;1  a 4 anos;3;2;30;Própria;1;Qualificado;1;Não;Sim;Bom;18-30 anos
Sem conta;36;Reparos;2613;< 100 DM;1  a 4 anos;4;2;27;Própria;2;Qualificado;1;Sim;Sim;Bom;18-30 anos
0 a 200 DM;48;Rádio/TV;10961;>= 1000 DM;4 a 7 anos;1;2;27;Própria;2;Qualificado;1;Não;Sim;Ruim;18-30 anos
< 0 DM;12;Móveis/Equipamento;7865;< 100 DM;>= 7 anos;4;4;53;Favor;1;Autônomo/Gerência/Oficial;1;Não;Sim;Ruim;51-60 anos
Sem conta;9;Rádio/TV;1478;< 100 DM;4 a 7 anos;4;2;22;Própria;1;Qualificado;1;Sim;Sim;Ruim;18-30 anos
< 0 DM;24;Móveis/Equipamento;3149;< 100 DM;< 1 ano;4;1;22;Favor;1;Qualificado;1;Sim;Sim;Bom;18-30 anos
>= 200 DM;36;Rádio/TV;4210;< 100 DM;1  a 4 anos;4;2;26;Própria;1;Qualificado;1;Sim;Sim;Ruim;18-30 anos
Sem conta;9;Carro Novo;2507;500 a 1000 DM;>= 7 anos;2;4;51;Favor;1;Informal;1;Sim;Sim;Bom;51-60 anos
Sem conta;12;Rádio/TV;2141;100 a 500 DM;4 a 7 anos;3;1;35;Própria;1;Qualificado;1;Sim;Sim;Bom;31-40 anos
0 a 200 DM;18;Rádio/TV;866;< 100 DM;1  a 4 anos;4;2;25;Própria;1;Informal;1;Sim;Sim;Bom;18-30 anos
Sem conta;4;Rádio/TV;1544;< 100 DM;4 a 7 anos;2;1;42;Própria;3;Informal;2;Sim;Sim;Bom;41-50 anos
< 0 DM;24;Rádio/TV;1823;< 100 DM;Desempregado;4;2;30;Própria;1;Autônomo/Gerência/Oficial;2;Sim;Sim;Ruim;18-30 anos
0 a 200 DM;6;Carro Novo;14555;Sem conta;Desempregado;1;2;23;Própria;1;Desempregado;1;Não;Sim;Ruim;18-30 anos
0 a 200 DM;21;Negócios;2767;100 a 500 DM;>= 7 anos;4;2;61;Aluguel;2;Informal;1;Sim;Sim;Ruim;60+ anos
Sem conta;12;Rádio/TV;1291;< 100 DM;1  a 4 anos;4;2;35;Própria;2;Qualificado;1;Sim;Sim;Bom;31-40 anos
< 0 DM;30;Rádio/TV;2522;< 100 DM;>= 7 anos;1;3;39;Própria;1;Qualificado;2;Sim;Sim;Bom;31-40 anos
< 0 DM;24;Carro Novo;915;Sem conta;>= 7 anos;4;2;29;Própria;1;Qualificado;1;Sim;Sim;Ruim;18-30 anos
Sem conta;6;Rádio/TV;1595;< 100 DM;4 a 7 anos;3;2;51;Própria;1;Qualificado;2;Sim;Sim;Bom;51-60 anos
< 0 DM;48;Carro Usado;4605;< 100 DM;>= 7 anos;3;4;24;Favor;2;Qualificado;2;Sim;Sim;Ruim;18-30 anos
Sem conta;12;Negócios;1185;< 100 DM;1  a 4 anos;3;2;27;Própria;2;Qualificado;1;Sim;Sim;Bom;18-30 anos
Sem conta;12;Retreinamento;3447;500 a 1000 DM;1  a 4 anos;4;3;35;Própria;1;Informal;2;Sim;Sim;Bom;31-40 anos
Sem conta;24;Negócios;1258;< 100 DM;4 a 7 anos;4;1;25;Própria;1;Qualificado;1;Não;Sim;Bom;18-30 anos
Sem conta;12;Rádio/TV;717;< 100 DM;>= 7 anos;4;4;52;Própria;3;Qualificado;1;Sim;Sim;Bom;51-60 anos
Sem conta;6;Carro Novo;1204;100 a 500 DM;1  a 4 anos;4;1;35;Aluguel;1;Qualificado;1;Sim;Não;Bom;31-40 anos
>= 200 DM;24;Móveis/Equipamento;1925;< 100 DM;1  a 4 anos;2;2;26;Própria;1;Qualificado;1;Sim;Sim;Bom;18-30 anos
Sem conta;18;Rádio/TV;433;< 100 DM;Desempregado;3;4;22;Aluguel;1;Qualificado;1;Sim;Sim;Ruim;18-30 anos
< 0 DM;6;Carro Novo;666;>= 1000 DM;4 a 7 anos;3;4;39;Própria;2;Informal;1;Não;Sim;Bom;31-40 anos
>= 200 DM;12;Móveis/Equipamento;2251;< 100 DM;1  a 4 anos;1;2;46;Própria;1;Informal;1;Sim;Sim;Bom;41-50 anos
0 a 200 DM;30;Carro Novo;2150;< 100 DM;1  a 4 anos;4;2;24;Própria;1;Qualificado;1;Sim;Sim;Ruim;18-30 anos
Sem conta;24;Móveis/Equipamento;4151;100 a 500 DM;1  a 4 anos;2;3;35;Própria;2;Qualificado;1;Sim;Sim;Bom;31-40 anos
0 a 200 DM;9;Móveis/Equipamento;2030;Sem conta;4 a 7 anos;2;1;24;Própria;1;Qualificado;1;Não;Sim;Bom;18-30 anos
0 a 200 DM;60;Rádio/TV;7418;Sem conta;1  a 4 anos;1;1;27;Própria;1;Informal;1;Sim;Sim;Bom;18-30 anos
Sem conta;24;Rádio/TV;2684;< 100 DM;1  a 4 anos;4;2;35;Própria;2;Informal;1;Sim;Sim;Bom;31-40 anos
< 0 DM;12;Rádio/TV;2149;< 100 DM;1  a 4 anos;4;1;29;Favor;1;Qualificado;1;Sim;Sim;Ruim;18-30 anos
Sem conta;15;Carro Usado;3812;100 a 500 DM;< 1 ano;1;4;23;Própria;1;Qualificado;1;Não;Sim;Bom;18-30 anos
Sem conta;11;Rádio/TV;1154;100 a 500 DM;Desempregado;4;4;57;Própria;3;Informal;1;Sim;Sim;Bom;51-60 anos
< 0 DM;12;Móveis/Equipamento;1657;< 100 DM;1  a 4 anos;2;2;27;Própria;1;Qualificado;1;Sim;Sim;Bom;18-30 anos
< 0 DM;24;Rádio/TV;1603;< 100 DM;>= 7 anos;4;4;55;Própria;1;Qualificado;1;Sim;Sim;Bom;51-60 anos
< 0 DM;18;Carro Novo;5302;< 100 DM;>= 7 anos;2;4;36;Favor;3;Autônomo/Gerência/Oficial;1;Não;Sim;Bom;31-40 anos
Sem conta;12;Educação;2748;< 100 DM;>= 7 anos;2;4;57;Favor;3;Informal;1;Sim;Sim;Bom;51-60 anos
Sem conta;10;Carro Novo;1231;< 100 DM;>= 7 anos;3;4;32;Própria;2;Informal;2;Sim;Não;Bom;31-40 anos
0 a 200 DM;15;Rádio/TV;802;< 100 DM;>= 7 anos;4;3;37;Própria;1;Qualificado;2;Sim;Sim;Ruim;31-40 anos
Sem conta;36;Negócios;6304;Sem conta;>= 7 anos;4;4;36;Própria;2;Qualificado;1;Sim;Sim;Bom;31-40 anos
Sem conta;24;Rádio/TV;1533;< 100 DM;< 1 ano;4;3;38;Própria;1;Qualificado;1;Não;Sim;Bom;31-40 anos
< 0 DM;14;Carro Novo;8978;< 100 DM;>= 7 anos;1;4;45;Própria;1;Autônomo/Gerência/Oficial;1;Não;Não;Ruim;41-50 anos
Sem conta;24;Rádio/TV;999;Sem conta;>= 7 anos;4;2;25;Própria;2;Qualificado;1;Sim;Sim;Bom;18-30 anos
Sem conta;18;Carro Novo;2662;Sem conta;4 a 7 anos;4;3;32;Própria;1;Qualificado;1;Sim;Não;Bom;31-40 anos
Sem conta;12;Móveis/Equipamento;1402;500 a 1000 DM;4 a 7 anos;3;4;37;Aluguel;1;Qualificado;1;Não;Sim;Bom;31-40 anos
0 a 200 DM;48;Carro Novo;12169;Sem conta;Desempregado;4;4;36;Favor;1;Autônomo/Gerência/Oficial;1;Não;Sim;Bom;31-40 anos
0 a 200 DM;48;Rádio/TV;3060;< 100 DM;4 a 7 anos;4;4;28;Própria;2;Qualificado;1;Sim;Sim;Ruim;18-30 anos
< 0 DM;30;Reparos;11998;< 100 DM;< 1 ano;1;1;34;Própria;1;Informal;1;Não;Sim;Ruim;31-40 anos
Sem conta;9;Rádio/TV;2697;< 100 DM;1  a 4 anos;1;2;32;Própria;1;Qualificado;2;Sim;Sim;Bom;31-40 anos
Sem conta;18;Rádio/TV;2404;< 100 DM;1  a 4 anos;2;2;26;Própria;2;Qualificado;1;Sim;Sim;Bom;18-30 anos
< 0 DM;12;Móveis/Equipamento;1262;Sem conta;>= 7 anos;2;4;49;Própria;1;Informal;1;Não;Sim;Bom;41-50 anos
Sem conta;6;Móveis/Equipamento;4611;< 100 DM;< 1 ano;1;4;32;Própria;1;Qualificado;1;Sim;Sim;Ruim;31-40 anos
Sem conta;24;Rádio/TV;1901;100 a 500 DM;1  a 4 anos;4;4;29;Aluguel;1;Autônomo/Gerência/Oficial;1;Não;Sim;Bom;18-30 anos
Sem conta;15;Carro Usado;3368;>= 1000 DM;>= 7 anos;3;4;23;Aluguel;2;Qualificado;1;Não;Sim;Bom;18-30 anos
Sem conta;12;Móveis/Equipamento;1574;< 100 DM;1  a 4 anos;4;2;50;Própria;1;Qualificado;1;Sim;Sim;Bom;41-50 anos
>= 200 DM;18;Rádio/TV;1445;Sem conta;4 a 7 anos;4;4;49;Própria;1;Informal;1;Sim;Sim;Bom;41-50 anos
Sem conta;15;Móveis/Equipamento;1520;Sem conta;>= 7 anos;4;4;63;Própria;1;Qualificado;1;Sim;Sim;Bom;60+ anos
0 a 200 DM;24;Carro Novo;3878;100 a 500 DM;< 1 ano;4;2;37;Própria;1;Qualificado;1;Não;Sim;Bom;31-40 anos
< 0 DM;47;Carro Novo;10722;< 100 DM;< 1 ano;1;1;35;Própria;1;Informal;1;Não;Sim;Bom;31-40 anos
< 0 DM;48;Carro Usado;4788;< 100 DM;4 a 7 anos;4;3;26;Própria;1;Qualificado;2;Sim;Sim;Bom;18-30 anos
0 a 200 DM;48;Outros;7582;100 a 500 DM;Desempregado;2;4;31;Favor;1;Autônomo/Gerência/Oficial;1;Não;Sim;Bom;31-40 anos
0 a 200 DM;12;Rádio/TV;1092;< 100 DM;1  a 4 anos;4;4;49;Própria;2;Qualificado;1;Não;Sim;Bom;41-50 anos
< 0 DM;24;Rádio/TV;1024;< 100 DM;< 1 ano;4;4;48;Própria;1;Qualificado;1;Sim;Sim;Ruim;41-50 anos
Sem conta;12;Negócios;1076;< 100 DM;1  a 4 anos;2;2;26;Própria;1;Qualificado;1;Não;Não;Bom;18-30 anos
0 a 200 DM;36;Carro Usado;9398;< 100 DM;< 1 ano;1;4;28;Aluguel;1;Autônomo/Gerência/Oficial;1;Não;Sim;Ruim;18-30 anos
< 0 DM;24;Carro Usado;6419;< 100 DM;>= 7 anos;2;4;44;Favor;2;Autônomo/Gerência/Oficial;2;Não;Sim;Bom;41-50 anos
>= 200 DM;42;Carro Usado;4796;< 100 DM;>= 7 anos;4;4;56;Favor;1;Qualificado;1;Sim;Sim;Bom;51-60 anos
Sem conta;48;Negócios;7629;Sem conta;>= 7 anos;4;2;46;Própria;2;Autônomo/Gerência/Oficial;2;Sim;Sim;Bom;41-50 anos
0 a 200 DM;48;Móveis/Equipamento;9960;< 100 DM;< 1 ano;1;2;26;Própria;1;Qualificado;1;Não;Sim;Ruim;18-30 anos
Sem conta;12;Carro Usado;4675;Sem conta;< 1 ano;1;4;20;Aluguel;1;Qualificado;1;Sim;Sim;Bom;18-30 anos
Sem conta;10;Carro Novo;1287;Sem conta;>= 7 anos;4;2;45;Própria;1;Informal;1;Sim;Não;Bom;41-50 anos
Sem conta;18;Móveis/Equipamento;2515;< 100 DM;1  a 4 anos;3;4;43;Própria;1;Qualificado;1;Não;Sim;Bom;41-50 anos
0 a 200 DM;21;Móveis/Equipamento;2745;>= 1000 DM;4 a 7 anos;3;2;32;Própria;2;Qualificado;1;Não;Sim;Bom;31-40 anos
Sem conta;6;Carro Novo;672;< 100 DM;Desempregado;1;4;54;Própria;1;Desempregado;1;Não;Sim;Bom;51-60 anos
0 a 200 DM;36;Rádio/TV;3804;< 100 DM;1  a 4 anos;4;1;42;Própria;1;Qualificado;1;Não;Sim;Ruim;41-50 anos
>= 200 DM;24;Carro Novo;1344;Sem conta;4 a 7 anos;4;2;37;Própria;2;Informal;2;Sim;Sim;Ruim;31-40 anos
< 0 DM;10;Carro Novo;1038;< 100 DM;4 a 7 anos;4;3;49;Própria;2;Qualificado;1;Não;Sim;Bom;41-50 anos
Sem conta;48;Carro Novo;10127;500 a 1000 DM;1  a 4 anos;2;2;44;Favor;1;Qualificado;1;Sim;Sim;Ruim;41-50 anos
Sem conta;6;Móveis/Equipamento;1543;>= 1000 DM;1  a 4 anos;4;2;33;Própria;1;Qualificado;1;Sim;Sim;Bom;31-40 anos
Sem conta;30;Carro Usado;4811;Sem conta;4 a 7 anos;2;4;24;Aluguel;1;Informal;1;Sim;Sim;Bom;18-30 anos
< 0 DM;12;Rádio/TV;727;100 a 500 DM;< 1 ano;4;3;33;Própria;1;Informal;1;Não;Sim;Ruim;31-40 anos
0 a 200 DM;8;Móveis/Equipamento;1237;< 100 DM;1  a 4 anos;3;4;24;Própria;1;Qualificado;1;Sim;Sim;Ruim;18-30 anos
0 a 200 DM;9;Carro Novo;276;< 100 DM;1  a 4 anos;4;4;22;Aluguel;1;Informal;1;Sim;Sim;Bom;18-30 anos
0 a 200 DM;48;Outros;5381;Sem conta;Desempregado;3;4;40;Favor;1;Desempregado;1;Não;Sim;Bom;31-40 anos
Sem conta;24;Móveis/Equipamento;5511;100 a 500 DM;1  a 4 anos;4;1;25;Própria;1;Qualificado;1;Sim;Sim;Bom;18-30 anos
>= 200 DM;24;Móveis/Equipamento;3749;< 100 DM;< 1 ano;2;4;26;Própria;1;Qualificado;1;Sim;Sim;Bom;18-30 anos
0 a 200 DM;12;Carro Novo;685;< 100 DM;4 a 7 anos;2;3;25;Própria;1;Informal;1;Sim;Sim;Ruim;18-30 anos
>= 200 DM;4;Carro Novo;1494;Sem conta;< 1 ano;1;2;29;Própria;1;Informal;2;Sim;Não;Bom;18-30 anos
< 0 DM;36;Móveis/Equipamento;2746;< 100 DM;>= 7 anos;4;4;31;Própria;1;Qualificado;1;Sim;Sim;Ruim;31-40 anos
< 0 DM;12;Móveis/Equipamento;708;< 100 DM;1  a 4 anos;2;3;38;Própria;1;Informal;2;Sim;Sim;Bom;31-40 anos
0 a 200 DM;24;Móveis/Equipamento;4351;Sem conta;1  a 4 anos;1;4;48;Própria;1;Informal;1;Não;Sim;Bom;41-50 anos
Sem conta;12;Educação;701;< 100 DM;1  a 4 anos;4;2;32;Própria;2;Qualificado;1;Sim;Sim;Bom;31-40 anos
< 0 DM;15;Móveis/Equipamento;3643;< 100 DM;>= 7 anos;1;4;27;Própria;2;Informal;1;Sim;Sim;Bom;18-30 anos
0 a 200 DM;30;Carro Novo;4249;< 100 DM;Desempregado;4;2;28;Própria;2;Autônomo/Gerência/Oficial;1;Sim;Sim;Ruim;18-30 anos
< 0 DM;24;Rádio/TV;1938;< 100 DM;< 1 ano;4;3;32;Própria;1;Qualificado;1;Sim;Sim;Ruim;31-40 anos
< 0 DM;24;Carro Usado;2910;< 100 DM;4 a 7 anos;2;1;34;Favor;1;Autônomo/Gerência/Oficial;1;Não;Sim;Bom;31-40 anos
< 0 DM;18;Móveis/Equipamento;2659;>= 1000 DM;1  a 4 anos;4;2;28;Própria;1;Qualificado;1;Sim;Sim;Bom;18-30 anos
Sem conta;18;Carro Novo;1028;< 100 DM;1  a 4 anos;4;3;36;Própria;2;Qualificado;1;Sim;Sim;Bom;31-40 anos
< 0 DM;8;Carro Novo;3398;< 100 DM;4 a 7 anos;1;4;39;Própria;2;Informal;1;Sim;Não;Bom;31-40 anos
Sem conta;12;Móveis/Equipamento;5801;Sem conta;>= 7 anos;2;4;49;Aluguel;1;Qualificado;1;Não;Sim;Bom;41-50 anos
Sem conta;24;Carro Novo;1525;>= 1000 DM;4 a 7 anos;4;3;34;Própria;1;Qualificado;2;Não;Sim;Bom;31-40 anos
>= 200 DM;36;Rádio/TV;4473;< 100 DM;>= 7 anos;4;2;31;Própria;1;Qualificado;1;Sim;Sim;Bom;31-40 anos
0 a 200 DM;6;Rádio/TV;1068;< 100 DM;>= 7 anos;4;4;28;Própria;1;Qualificado;2;Sim;Sim;Bom;18-30 anos
< 0 DM;24;Carro Usado;6615;< 100 DM;Desempregado;2;4;75;Favor;2;Autônomo/Gerência/Oficial;1;Não;Sim;Bom;60+ anos
Sem conta;18;Educação;1864;100 a 500 DM;1  a 4 anos;4;2;30;Própria;2;Qualificado;1;Sim;Sim;Ruim;18-30 anos
0 a 200 DM;60;Carro Novo;7408;100 a 500 DM;< 1 ano;4;2;24;Própria;1;Autônomo/Gerência/Oficial;1;Sim;Sim;Ruim;18-30 anos
Sem conta;48;Carro Usado;11590;100 a 500 DM;1  a 4 anos;2;4;24;Aluguel;2;Informal;1;Sim;Sim;Ruim;18-30 anos
< 0 DM;24;Móveis/Equipamento;4110;< 100 DM;>= 7 anos;3;4;23;Aluguel;2;Qualificado;2;Sim;Sim;Ruim;18-30 anos
< 0 DM;6;Móveis/Equipamento;3384;< 100 DM;1  a 4 anos;1;4;44;Aluguel;1;Autônomo/Gerência/Oficial;1;Não;Sim;Ruim;41-50 anos
0 a 200 DM;13;Rádio/TV;2101;< 100 DM;< 1 ano;2;4;23;Própria;1;Informal;1;Sim;Sim;Bom;18-30 anos
< 0 DM;15;Eletrodomésticos;1275;Sem conta;1  a 4 anos;4;2;24;Aluguel;1;Qualificado;1;Sim;Sim;Ruim;18-30 anos
< 0 DM;24;Móveis/Equipamento;4169;< 100 DM;1  a 4 anos;4;4;28;Própria;1;Qualificado;1;Sim;Sim;Bom;18-30 anos
0 a 200 DM;10;Móveis/Equipamento;1521;< 100 DM;1  a 4 anos;4;2;31;Própria;1;Informal;1;Sim;Sim;Bom;31-40 anos
0 a 200 DM;24;Educação;5743;< 100 DM;< 1 ano;2;4;24;Favor;2;Qualificado;1;Não;Sim;Bom;18-30 anos
< 0 DM;21;Móveis/Equipamento;3599;< 100 DM;4 a 7 anos;1;4;26;Aluguel;1;Informal;1;Sim;Sim;Bom;18-30 anos
0 a 200 DM;18;Rádio/TV;3213;500 a 1000 DM;< 1 ano;1;3;25;Aluguel;1;Qualificado;1;Sim;Sim;Bom;18-30 anos
0 a 200 DM;18;Negócios;4439;< 100 DM;>= 7 anos;1;1;33;Própria;1;Autônomo/Gerência/Oficial;1;Não;Sim;Bom;31-40 anos
>= 200 DM;10;Carro Novo;3949;< 100 DM;< 1 ano;1;1;37;Própria;1;Informal;2;Sim;Sim;Bom;31-40 anos
Sem conta;15;Rádio/TV;1459;< 100 DM;1  a 4 anos;4;2;43;Própria;1;Informal;1;Sim;Sim;Bom;41-50 anos
0 a 200 DM;13;Rádio/TV;882;< 100 DM;< 1 ano;4;4;23;Própria;2;Qualificado;1;Sim;Sim;Bom;18-30 anos
0 a 200 DM;24;Rádio/TV;3758;500 a 1000 DM;Desempregado;1;4;23;Aluguel;1;Desempregado;1;Sim;Sim;Bom;18-30 anos
Sem conta;6;Negócios;1743;100 a 500 DM;1  a 4 anos;1;2;34;Própria;2;Informal;1;Sim;Sim;Bom;31-40 anos
0 a 200 DM;9;Educação;1136;>= 1000 DM;>= 7 anos;4;3;32;Favor;2;Qualificado;2;Sim;Sim;Ruim;31-40 anos
Sem conta;9;Eletrodomésticos;1236;< 100 DM;< 1 ano;1;4;23;Aluguel;1;Qualificado;1;Não;Sim;Bom;18-30 anos
0 a 200 DM;9;Móveis/Equipamento;959;< 100 DM;1  a 4 anos;1;2;29;Própria;1;Qualificado;1;Sim;Não;Ruim;18-30 anos
Sem conta;18;Carro Usado;3229;Sem conta;Desempregado;2;4;38;Própria;1;Autônomo/Gerência/Oficial;1;Não;Sim;Bom;31-40 anos
< 0 DM;12;Rádio/TV;6199;< 100 DM;1  a 4 anos;4;2;28;Aluguel;2;Qualificado;1;Não;Sim;Ruim;18-30 anos
Sem conta;10;Educação;727;500 a 1000 DM;>= 7 anos;4;4;46;Favor;1;Qualificado;1;Não;Sim;Bom;41-50 anos
0 a 200 DM;24;Carro Novo;1246;< 100 DM;< 1 ano;4;2;23;Própria;1;Informal;1;Sim;Sim;Ruim;18-30 anos
Sem conta;12;Rádio/TV;2331;Sem conta;>= 7 anos;1;4;49;Própria;1;Qualificado;1;Não;Sim;Bom;41-50 anos
Sem conta;36;Rádio/TV;4463;< 100 DM;1  a 4 anos;4;2;26;Própria;2;Autônomo/Gerência/Oficial;1;Não;Sim;Ruim;18-30 anos
Sem conta;12;Rádio/TV;776;< 100 DM;1  a 4 anos;4;2;28;Própria;1;Qualificado;1;Sim;Sim;Bom;18-30 anos
< 0 DM;30;Móveis/Equipamento;2406;< 100 DM;4 a 7 anos;4;4;23;Aluguel;1;Qualificado;1;Sim;Sim;Ruim;18-30 anos
0 a 200 DM;18;Educação;1239;Sem conta;1  a 4 anos;4;4;61;Favor;1;Qualificado;1;Sim;Sim;Bom;60+ anos
>= 200 DM;12;Rádio/TV;3399;Sem conta;>= 7 anos;2;3;37;Própria;1;Autônomo/Gerência/Oficial;1;Sim;Sim;Bom;31-40 anos
>= 200 DM;12;Carro Novo;2247;< 100 DM;1  a 4 anos;2;2;36;Própria;2;Qualificado;1;Não;Sim;Bom;31-40 anos
